id,attrition,gender,age,maritalstatus,academic_degree,years_experience,years_experience_lastorganization,sector,department,jobtitle,monthlysalary,allowances,medicalinsurance,bonus,overtime,payment_overtime,rewards_wages_satisfaction,get_deserved_promotion,training_programs_during_last_three_years,useful_training_programs,business_travel,job_support,recognition,emotional_commitment,job_engagement,distance_to_work,work_live_balance,physical_stress,psychological_exhaustion,job_stability,health_issues,environment_satisfaction,job_satisfaction,job_opportunities,age_group,salary_band,attrition_label
11,1,Female,31 to 40,Married,Master's,Less than 5 years,Less than 5 years,Medical sector,Accounting,Accountant,From 5000 to 10000 S.R,2,No,No,No,I don't have overtime,Yes,Yes,From 1 to 3 training programs,Yes,I do not travel for work,Medium,No,Medium,Medium,Medium,Medium,Yes,No,No,Yes,Medium,Not satisfied,Yes,31 to 40,From 5000 to 10000 S.R,Left
12,0,Female,21 to 30,Single,Master's,Less than 5 years,Less than 5 years,Medical sector,Accounting,Accountant,From 11000 to 15000 S.R,2,Yes,Yes,No,I don't have overtime,Yes,Yes,From 1 to 3 training programs,Yes,Travel rarely,Medium,Yes,Medium,Medium,Medium,Medium,No,No,Yes,No,Medium,Satisfied,No,21 to 30,From 11000 to 15000 S.R,Stayed
13,0,Female,21 to 30,Single,Bachelor's,Less than 5 years,Less than 5 years,Education sector,Teaching,Teacher,Less than 5000 SAR,0,No,No,No,I don't have overtime,No,No,From 1 to 3 training programs,Yes,I do not travel for work,Medium,Yes,Low,Medium,Close,Medium,Yes,Sometimes,No,No,Medium,Satisfied,Yes,21 to 30,Less than 5000 SAR,Stayed
14,0,Female,21 to 30,Single,Bachelor's,Less than 5 years,Less than 5 years,Education sector,Teaching,Teacher,Less than 5000 SAR,0,No,No,No,I don't have overtime,No,No,I did not receive any training,No,I do not travel for work,Low,No,Low,Medium,Medium,Medium,Yes,Yes,No,No,Low,Not satisfied,No,21 to 30,Less than 5000 SAR,Stayed
15,0,Female,21 to 30,Single,Bachelor's,Less than 5 years,Less than 5 years,Education sector,Teaching,Teacher,Less than 5000 SAR,0,No,No,Yes,No,No,No,I did not receive any training,No,I do not travel for work,Low,Yes,Medium,Medium,Medium,Medium,Sometimes,Sometimes,No,No,Medium,Not satisfied,No,21 to 30,Less than 5000 SAR,Stayed
16,0,Female,21 to 30,Single,Bachelor's,Less than 5 years,Less than 5 years,Education sector,Teaching,Teacher,Less than 5000 SAR,0,No,No,No,I don't have overtime,No,No,From 4 to 6 training programs,Yes,I do not travel for work,Low,No,Medium,Medium,Close,Medium,Yes,Yes,No,No,Low,Not satisfied,Yes,21 to 30,Less than 5000 SAR,Stayed
17,1,Female,31 to 40,Married,Bachelor's,Less than 5 years,Less than 5 years,Education sector,Teaching,Teacher,Less than 5000 SAR,0,No,No,Yes,No,No,No,From 1 to 3 training programs,Yes,I do not travel for work,Medium,Yes,Medium,Medium,Close,Difficult,Yes,Yes,No,No,Medium,Satisfied,No,31 to 40,Less than 5000 SAR,Left
18,0,Female,31 to 40,Married,Bachelor's,From 5 to 10 years,From 5 to 10 years,Education sector,Teaching,Teacher,From 11000 to 15000 S.R,0,No,No,No,I don't have overtime,Yes,Yes,From 7 training programs to more,Yes,I do not travel for work,Medium,Yes,High,Medium,Medium,Medium,Sometimes,Sometimes,Yes,No,Medium,Very satisfied,Yes,31 to 40,From 11000 to 15000 S.R,Stayed
20,1,Female,31 to 40,Married,Master's,From 5 to 10 years,Less than 5 years,Education sector,Teaching,Teacher,Less than 5000 SAR,0,No,Yes,No,I don't have overtime,No,No,From 1 to 3 training programs,Yes,I do not travel for work,Low,Yes,High,Medium,Medium,Difficult,Yes,Yes,No,No,Medium,Satisfied,No,31 to 40,Less than 5000 SAR,Left
21,1,Female,21 to 30,Married,Bachelor's,Less than 5 years,Less than 5 years,Communications and IT sector,Relations,Relationships Specialist,Less than 5000 SAR,1,Yes,Yes,Yes,Yes,Yes,Yes,From 1 to 3 training programs,Yes,Travel frequently,High,Yes,High,Difficult,Far,Difficult,Yes,Yes,Yes,Yes,High,Very satisfied,Yes,21 to 30,Less than 5000 SAR,Left
22,0,Female,31 to 40,Single,Diploma or secondary,Less than 5 years,Less than 5 years,Tourism sector,HR,Manger assistant,From 5000 to 10000 S.R,1,No,Yes,Yes,Yes,Yes,Yes,From 1 to 3 training programs,Yes,I do not travel for work,High,Yes,High,Easy,Close,Easy,Sometimes,Sometimes,Yes,No,High,Very satisfied,No,31 to 40,From 5000 to 10000 S.R,Stayed
23,1,Female,31 to 40,Married,Bachelor's,From 5 to 10 years,From 5 to 10 years,Education sector,Administration,Administrative manager,Less than 5000 SAR,0,No,No,No,I don't have overtime,Yes,No,From 1 to 3 training programs,Yes,I do not travel for work,High,Yes,Medium,Medium,Close,Easy,No,No,Yes,No,High,Very satisfied,Yes,31 to 40,Less than 5000 SAR,Left
24,0,Female,41 to 50,Married,Bachelor's,From 11 to 15 years,From 11 to 15 years,Education sector,Administration,Manger assistant,From 5000 to 10000 S.R,0,No,No,No,I don't have overtime,No,No,From 4 to 6 training programs,Yes,I do not travel for work,Low,Yes,Medium,Medium,Close,Difficult,No,Sometimes,Yes,No,Medium,Not satisfied,No,41 to 50,From 5000 to 10000 S.R,Stayed
25,0,Female,31 to 40,Married,Bachelor's,From 11 to 15 years,From 11 to 15 years,Education sector,Teaching,Teacher,From 11000 to 15000 S.R,1,No,No,No,I don't have overtime,Yes,No,From 4 to 6 training programs,Yes,I do not travel for work,Medium,Yes,High,Medium,Medium,Medium,Yes,Yes,Yes,No,Medium,Satisfied,No,31 to 40,From 11000 to 15000 S.R,Stayed
26,0,Female,41 to 50,Married,Bachelor's,From 16 to 20 years,From 16 to 20 years,Education sector,Teaching,Teacher,From 11000 to 15000 S.R,1,No,No,No,I don't have overtime,Yes,Yes,From 4 to 6 training programs,Yes,I do not travel for work,Medium,Yes,Medium,Medium,Close,Medium,Sometimes,No,Yes,No,Medium,Satisfied,No,41 to 50,From 11000 to 15000 S.R,Stayed
27,0,Female,41 to 50,Married,Bachelor's,From 21 to 25 years,From 21 to 25 years,Education sector,Teaching,Teacher,From 5000 to 10000 S.R,1,No,No,No,No,Yes,Yes,From 7 training programs to more,Yes,I do not travel for work,High,Yes,High,Easy,Close,Easy,Sometimes,Sometimes,Yes,No,High,Very satisfied,No,41 to 50,From 5000 to 10000 S.R,Stayed
28,0,Female,41 to 50,Married,Bachelor's,From 11 to 15 years,From 11 to 15 years,Education sector,Teaching,Teacher,From 11000 to 15000 S.R,0,No,No,No,No,Yes,Yes,From 7 training programs to more,Yes,I do not travel for work,Medium,Yes,Medium,Medium,Close,Medium,Sometimes,Sometimes,Yes,No,Medium,Very satisfied,No,41 to 50,From 11000 to 15000 S.R,Stayed
29,0,Female,31 to 40,Married,Bachelor's,From 5 to 10 years,From 5 to 10 years,Education sector,Teaching,Teacher,From 5000 to 10000 S.R,1,No,No,No,No,No,No,From 4 to 6 training programs,No,I do not travel for work,Low,No,Low,Easy,Medium,Medium,No,No,No,No,Low,Not satisfied,No,31 to 40,From 5000 to 10000 S.R,Stayed
30,0,Female,31 to 40,Married,Bachelor's,From 5 to 10 years,From 5 to 10 years,Education sector,Teaching,Teacher,From 11000 to 15000 S.R,1,No,No,No,I don't have overtime,Yes,Yes,From 1 to 3 training programs,No,I do not travel for work,Low,No,Medium,Easy,Far,Medium,Yes,Yes,Yes,No,Low,Satisfied,Yes,31 to 40,From 11000 to 15000 S.R,Stayed
31,0,Female,31 to 40,Married,Bachelor's,From 11 to 15 years,From 11 to 15 years,Education sector,Teaching,Teacher,From 11000 to 15000 S.R,1,No,No,No,I don't have overtime,Yes,Yes,From 7 training programs to more,Yes,I do not travel for work,Low,Yes,Medium,Medium,Close,Easy,No,No,Yes,No,Medium,Very satisfied,No,31 to 40,From 11000 to 15000 S.R,Stayed
32,0,Female,41 to 50,Married,Bachelor's,From 16 to 20 years,From 16 to 20 years,Education sector,Teaching,Teacher,From 11000 to 15000 S.R,0,No,No,No,I don't have overtime,Yes,No,From 4 to 6 training programs,Yes,I do not travel for work,Medium,Yes,Medium,Medium,Close,Medium,Sometimes,Sometimes,Yes,No,Medium,Satisfied,No,41 to 50,From 11000 to 15000 S.R,Stayed
33,0,Female,41 to 50,Married,Bachelor's,From 5 to 10 years,From 5 to 10 years,Education sector,Administration,Manger assistant,From 5000 to 10000 S.R,0,No,No,No,I don't have overtime,Yes,Yes,From 4 to 6 training programs,Yes,I do not travel for work,Medium,Yes,Medium,Medium,Close,Medium,Sometimes,No,Yes,No,Medium,Satisfied,No,41 to 50,From 5000 to 10000 S.R,Stayed
34,0,Female,41 to 50,Married,Bachelor's,From 21 to 25 years,From 21 to 25 years,Education sector,Teaching,Teacher,From 5000 to 10000 S.R,0,No,No,No,I don't have overtime,Yes,Yes,From 7 training programs to more,Yes,I do not travel for work,Medium,Yes,High,Easy,Close,Easy,Yes,Yes,Yes,Yes,High,Very satisfied,No,41 to 50,From 5000 to 10000 S.R,Stayed
35,0,Female,41 to 50,Single,Bachelor's,From 11 to 15 years,From 11 to 15 years,Education sector,Teaching,Teacher,From 11000 to 15000 S.R,0,No,No,No,I don't have overtime,Yes,No,From 4 to 6 training programs,Yes,Travel rarely,Medium,Yes,Medium,Medium,Close,Easy,Sometimes,Sometimes,Yes,No,Medium,Satisfied,No,41 to 50,From 11000 to 15000 S.R,Stayed
36,0,Female,41 to 50,Married,Bachelor's,From 16 to 20 years,From 16 to 20 years,Education sector,Teaching,Teacher,From 11000 to 15000 S.R,1,No,No,No,I don't have overtime,Yes,No,From 7 training programs to more,Yes,I do not travel for work,Low,Yes,High,Medium,Medium,Medium,Sometimes,Sometimes,Yes,No,High,Very satisfied,No,41 to 50,From 11000 to 15000 S.R,Stayed
