calibration_bin,records,mean_predicted_risk,observed_attrition_rate,absolute_gap
1,30,0.01833638068706052,0.03333333333333333,0.014996952646272814
2,30,0.053161261527621836,0.06666666666666667,0.01350540513904483
3,30,0.116738883149696,0.1,0.016738883149695988
4,29,0.18077524518880816,0.27586206896551724,0.09508682377670907
5,30,0.30835298948441286,0.2,0.10835298948441285
6,30,0.4876259288849895,0.5,0.012374071115010488
7,29,0.6490763544552318,0.5862068965517241,0.06286945790350773
8,30,0.7957729094686458,0.6666666666666666,0.12910624280197913
9,30,0.9432619822344859,0.9,0.04326198223448585
10,30,0.9932688301958065,1.0,0.006731169804193526
