feature,importance_mean,importance_std
years_experience,0.12122773898340497,0.013879739746447241
years_experience_lastorganization,0.1165585219174388,0.012093609603354311
job_opportunities,0.041040746681572135,0.018147474021147792
jobtitle,0.03094257739137699,0.01719012240236822
overtime,0.019968373180126557,0.009024332073269338
training_programs_during_last_three_years,0.01643226972111075,0.011599789613863888
emotional_commitment,0.013640659291147638,0.009113393625136022
allowances,0.009070609525226552,0.009061384517597058
environment_satisfaction,0.006372954242096615,0.005895187262404606
distance_to_work,0.005183172958927918,0.005435734189519252
sector,0.005097832821503097,0.01187429277662387
bonus,0.003741569803782374,0.0048013141686194085
job_engagement,0.0036774994887958028,0.009233091934703024
work_live_balance,0.0033525297785576076,0.005828621304628949
physical_stress,0.002552852102865414,0.008765937892780318
maritalstatus,0.0024954469618087747,0.005448427260579226
monthlysalary,0.0019572302468454134,0.007554416124909202
health_issues,0.0019006035370194333,0.00650111374474048
payment_overtime,0.0015482867147209886,0.007653107509024747
gender,0.0015301937024282915,0.005004798167792135
medicalinsurance,0.0013654686282043174,0.006524738934392643
job_support,0.0012406037186119582,0.009890501570890713
department,0.0002770508025825791,0.010230886675209524
business_travel,8.12628532397793e-05,0.0073978568057722315
job_satisfaction,5.687042645504311e-05,0.00604069030569487
job_stability,-0.001070959497841247,0.009547205735830375
age,-0.002691093045258719,0.005348772584889407
recognition,-0.0027930478672869943,0.0074829469676654095
academic_degree,-0.004852543470969809,0.00608849340187714
useful_training_programs,-0.005424800698195819,0.008997960787694747
get_deserved_promotion,-0.007949117468679833,0.008189232992098717
rewards_wages_satisfaction,-0.011633451014867235,0.006869154251446376
psychological_exhaustion,-0.012250437832211232,0.011984659374959397
